level,level_name,official_code,parent_official_code,name,slug,lat,lng
1,REGION,01,,Tarapacá,tarapaca,,
1,REGION,02,,Antofagasta,antofagasta,,
1,REGION,03,,Atacama,atacama,,
1,REGION,04,,Coquimbo,coquimbo,,
1,REGION,05,,Valparaíso,valparaiso,,
1,REGION,06,,Libertador General Bernardo O'Higgins,libertador-general-bernardo-o-higgins,,
1,REGION,07,,Maule,maule,,
1,REGION,08,,Biobío,biobio,,
1,REGION,09,,La Araucanía,la-araucania,,
1,REGION,10,,Los Lagos,los-lagos,,
1,REGION,11,,Aysén del General Carlos Ibáñez del Campo,aysen-del-general-carlos-ibanez-del-campo,,
1,REGION,12,,Magallanes y de la Antártica Chilena,magallanes-y-de-la-antartica-chilena,,
1,REGION,13,,Metropolitana de Santiago,metropolitana-de-santiago,,
1,REGION,14,,Los Ríos,los-rios,,
1,REGION,15,,Arica y Parinacota,arica-y-parinacota,,
1,REGION,16,,Ñuble,nuble,,
2,PROVINCIA,011,01,Iquique,iquique,,
2,PROVINCIA,014,01,Tamarugal,tamarugal,,
2,PROVINCIA,021,02,Antofagasta,antofagasta,,
2,PROVINCIA,022,02,El Loa,el-loa,,
2,PROVINCIA,023,02,Tocopilla,tocopilla,,
2,PROVINCIA,031,03,Copiapó,copiapo,,
2,PROVINCIA,032,03,Chañaral,chanaral,,
2,PROVINCIA,033,03,Huasco,huasco,,
2,PROVINCIA,041,04,Elqui,elqui,,
2,PROVINCIA,042,04,Choapa,choapa,,
2,PROVINCIA,043,04,Limarí,limari,,
2,PROVINCIA,051,05,Valparaíso,valparaiso,,
2,PROVINCIA,052,05,Isla de Pascua,isla-de-pascua,,
2,PROVINCIA,053,05,Los Andes,los-andes,,
2,PROVINCIA,054,05,Petorca,petorca,,
2,PROVINCIA,055,05,Quillota,quillota,,
2,PROVINCIA,056,05,San Antonio,san-antonio,,
2,PROVINCIA,057,05,San Felipe de Aconcagua,san-felipe-de-aconcagua,,
2,PROVINCIA,058,05,Marga Marga,marga-marga,,
2,PROVINCIA,061,06,Cachapoal,cachapoal,,
2,PROVINCIA,062,06,Cardenal Caro,cardenal-caro,,
2,PROVINCIA,063,06,Colchagua,colchagua,,
2,PROVINCIA,071,07,Talca,talca,,
2,PROVINCIA,072,07,Cauquenes,cauquenes,,
2,PROVINCIA,073,07,Curicó,curico,,
2,PROVINCIA,074,07,Linares,linares,,
2,PROVINCIA,081,08,Concepción,concepcion,,
2,PROVINCIA,082,08,Arauco,arauco,,
2,PROVINCIA,083,08,Biobío,biobio,,
2,PROVINCIA,091,09,Cautín,cautin,,
2,PROVINCIA,092,09,Malleco,malleco,,
2,PROVINCIA,101,10,Llanquihue,llanquihue,,
2,PROVINCIA,102,10,Chiloé,chiloe,,
2,PROVINCIA,103,10,Osorno,osorno,,
2,PROVINCIA,104,10,Palena,palena,,
2,PROVINCIA,111,11,Coihaique,coihaique,,
2,PROVINCIA,112,11,Aisén,aisen,,
2,PROVINCIA,113,11,Capitán Prat,capitan-prat,,
2,PROVINCIA,114,11,General Carrera,general-carrera,,
2,PROVINCIA,121,12,Magallanes,magallanes,,
2,PROVINCIA,122,12,Antártica Chilena,antartica-chilena,,
2,PROVINCIA,123,12,Tierra del Fuego,tierra-del-fuego,,
2,PROVINCIA,124,12,Última Esperanza,ultima-esperanza,,
2,PROVINCIA,131,13,Santiago,santiago,,
2,PROVINCIA,132,13,Cordillera,cordillera,,
2,PROVINCIA,133,13,Chacabuco,chacabuco,,
2,PROVINCIA,134,13,Maipo,maipo,,
2,PROVINCIA,135,13,Melipilla,melipilla,,
2,PROVINCIA,136,13,Talagante,talagante,,
2,PROVINCIA,141,14,Valdivia,valdivia,,
2,PROVINCIA,142,14,Ranco,ranco,,
2,PROVINCIA,151,15,Arica,arica,,
2,PROVINCIA,152,15,Parinacota,parinacota,,
2,PROVINCIA,161,16,Diguillín,diguillin,,
2,PROVINCIA,162,16,Itata,itata,,
2,PROVINCIA,163,16,Punilla,punilla,,
3,COMUNA,01101,011,Iquique,iquique,,
3,COMUNA,01107,011,Alto Hospicio,alto-hospicio,,
3,COMUNA,01401,014,Pozo Almonte,pozo-almonte,,
3,COMUNA,01402,014,Camiña,camina,,
3,COMUNA,01403,014,Colchane,colchane,,
3,COMUNA,01404,014,Huara,huara,,
3,COMUNA,01405,014,Pica,pica,,
3,COMUNA,02101,021,Antofagasta,antofagasta,,
3,COMUNA,02102,021,Mejillones,mejillones,,
3,COMUNA,02103,021,Sierra Gorda,sierra-gorda,,
3,COMUNA,02104,021,Taltal,taltal,,
3,COMUNA,02201,022,Calama,calama,,
3,COMUNA,02202,022,Ollagüe,ollague,,
3,COMUNA,02203,022,San Pedro de Atacama,san-pedro-de-atacama,,
3,COMUNA,02301,023,Tocopilla,tocopilla,,
3,COMUNA,02302,023,María Elena,maria-elena,,
3,COMUNA,03101,031,Copiapó,copiapo,,
3,COMUNA,03102,031,Caldera,caldera,,
3,COMUNA,03103,031,Tierra Amarilla,tierra-amarilla,,
3,COMUNA,03201,032,Chañaral,chanaral,,
3,COMUNA,03202,032,Diego de Almagro,diego-de-almagro,,
3,COMUNA,03301,033,Vallenar,vallenar,,
3,COMUNA,03302,033,Alto del Carmen,alto-del-carmen,,
3,COMUNA,03303,033,Freirina,freirina,,
3,COMUNA,03304,033,Huasco,huasco,,
3,COMUNA,04101,041,La Serena,la-serena,,
3,COMUNA,04102,041,Coquimbo,coquimbo,,
3,COMUNA,04103,041,Andacollo,andacollo,,
3,COMUNA,04104,041,La Higuera,la-higuera,,
3,COMUNA,04105,041,Paiguano,paiguano,,
3,COMUNA,04106,041,Vicuña,vicuna,,
3,COMUNA,04201,042,Illapel,illapel,,
3,COMUNA,04202,042,Canela,canela,,
3,COMUNA,04203,042,Los Vilos,los-vilos,,
3,COMUNA,04204,042,Salamanca,salamanca,,
3,COMUNA,04301,043,Ovalle,ovalle,,
3,COMUNA,04302,043,Combarbalá,combarbala,,
3,COMUNA,04303,043,Monte Patria,monte-patria,,
3,COMUNA,04304,043,Punitaqui,punitaqui,,
3,COMUNA,04305,043,Río Hurtado,rio-hurtado,,
3,COMUNA,05101,051,Valparaíso,valparaiso,,
3,COMUNA,05102,051,Casablanca,casablanca,,
3,COMUNA,05103,051,Concón,concon,,
3,COMUNA,05104,051,Juan Fernández,juan-fernandez,,
3,COMUNA,05105,051,Puchuncaví,puchuncavi,,
3,COMUNA,05107,051,Quintero,quintero,,
3,COMUNA,05109,051,Viña del Mar,vina-del-mar,,
3,COMUNA,05201,052,Isla de Pascua,isla-de-pascua,,
3,COMUNA,05301,053,Los Andes,los-andes,,
3,COMUNA,05302,053,Calle Larga,calle-larga,,
3,COMUNA,05303,053,Rinconada,rinconada,,
3,COMUNA,05304,053,San Esteban,san-esteban,,
3,COMUNA,05401,054,La Ligua,la-ligua,,
3,COMUNA,05402,054,Cabildo,cabildo,,
3,COMUNA,05403,054,Papudo,papudo,,
3,COMUNA,05404,054,Petorca,petorca,,
3,COMUNA,05405,054,Zapallar,zapallar,,
3,COMUNA,05501,055,Quillota,quillota,,
3,COMUNA,05502,055,Calera,calera,,
3,COMUNA,05503,055,Hijuelas,hijuelas,,
3,COMUNA,05504,055,La Cruz,la-cruz,,
3,COMUNA,05506,055,Nogales,nogales,,
3,COMUNA,05601,056,San Antonio,san-antonio,,
3,COMUNA,05602,056,Algarrobo,algarrobo,,
3,COMUNA,05603,056,Cartagena,cartagena,,
3,COMUNA,05604,056,El Quisco,el-quisco,,
3,COMUNA,05605,056,El Tabo,el-tabo,,
3,COMUNA,05606,056,Santo Domingo,santo-domingo,,
3,COMUNA,05701,057,San Felipe,san-felipe,,
3,COMUNA,05702,057,Catemu,catemu,,
3,COMUNA,05703,057,Llaillay,llaillay,,
3,COMUNA,05704,057,Panquehue,panquehue,,
